name,urn,phase,borough,postcode,latitude,longitude,bng_easting,bng_northing,laei_found,NO2_2022,NOx_2022,PM10_days_2022,PM10_mean_2022,PM25_2022
Vauxhall Primary School,100588,Primary,Lambeth,SE11 5LG,51.488929,-0.117692,530783.0,178344.1,True,26.03,38.87,5.0,17.01,9.83
Walnut Tree Walk Primary School,100589,Primary,Lambeth,SE11 6DS,51.493939,-0.113337,531071.0,178909.0,True,26.28,38.95,5.13,17.14,9.88
"Wyvil Primary School and Resource Bases for Speech, Language and Communication Needs, and Autism",100591,Primary,Lambeth,SW8 2TJ,51.481293,-0.125481,530264.0,177481.0,True,25.5,38.07,5.07,17.08,9.83
Crown Lane Primary School,100593,Primary,Lambeth,SW16 3HX,51.423614,-0.109258,531556.0,171096.0,True,21.74,31.08,3.89,15.82,9.37
Fenstanton Primary School,100595,Primary,Lambeth,SW2 3PW,51.442255,-0.11364,531198.0,173161.0,True,23.1,33.88,4.2,16.17,9.54
Elm Wood School,100597,Primary,Lambeth,SE27 9RR,51.432012,-0.091979,532733.0,172061.0,True,21.09,29.07,3.68,15.59,9.19
Allen Edwards Primary School,100598,Primary,Lambeth,SW4 6RP,51.472868,-0.127223,530167.0,176541.1,True,23.78,33.83,4.35,16.33,9.58
Glenbrook Primary School,100601,Primary,Lambeth,SW4 8LD,51.453001,-0.132153,529881.0,174323.0,True,22.66,32.08,4.41,16.39,9.52
Julian's School,100602,Primary,Lambeth,SE27 0JF,51.431233,-0.105506,531795.0,171949.9,True,21.88,31.15,3.88,15.81,9.4
Herbert Morrison Primary School,100604,Primary,Lambeth,SW8 2HP,51.478655,-0.125892,530243.0,177186.9,True,24.68,35.91,4.75,16.75,9.71
Archbishop Sumner Church of England Primary School,100609,Primary,Lambeth,SE11 4PH,51.491601,-0.109962,531312.0,178655.0,True,26.26,39.17,5.14,17.14,9.89
Christ Church Primary SW9,100610,Primary,Lambeth,SW9 6HN,51.47623,-0.108149,531482.0,176949.0,True,24.41,35.36,4.68,16.69,9.62
Macaulay Church of England Primary School,100612,Primary,Lambeth,SW4 0NU,51.463657,-0.147439,528789.0,175481.0,True,23.06,32.67,4.23,16.2,9.65
St Andrew's Church of England Primary School,100613,Primary,Lambeth,SW9 9DE,51.468347,-0.122355,530518.0,176047.0,True,23.99,34.79,4.44,16.43,9.64
St John the Divine Church of England Primary School,100614,Primary,Lambeth,SE5 0SX,51.478892,-0.103719,531782.0,177252.9,True,25.73,39.08,5.69,17.67,9.88
St John's Angell Town Church of England Primary School,100615,Primary,Lambeth,SW9 7HH,51.468053,-0.108545,531478.0,176039.0,True,23.82,34.28,4.68,16.68,9.59
St Jude's Church of England Primary School,100616,Primary,Lambeth,SE24 0EL,51.454319,-0.105039,531761.0,174518.0,True,22.95,32.84,4.4,16.39,9.54
St Mark's Church of England Primary School,100619,Primary,Lambeth,SE11 5SL,51.48457,-0.11731,530822.0,177860.0,True,27.41,43.44,5.69,17.67,10.11
St Saviour's Church of England Primary School,100620,Primary,Lambeth,SE24 0AY,51.463709,-0.097927,532228.0,175575.0,True,23.67,34.64,4.49,16.49,9.62
St Stephen's Church of England Primary School,100621,Primary,Lambeth,SW8 1EJ,51.47974,-0.122319,530488.0,177314.0,True,25.12,37.03,4.94,16.95,9.77
Holy Trinity Church of England Primary School,100622,Primary,Lambeth,SW2 2RL,51.447556,-0.118372,530854.0,173742.1,True,22.61,32.05,4.15,16.12,9.42
St Helen's Catholic Primary School,100623,Primary,Lambeth,SW9 0TQ,51.467116,-0.113421,531142.0,175926.0,True,24.74,37.07,4.99,17.0,9.76
St Anne's Catholic Primary School,100629,Primary,Lambeth,SE11 5JA,51.485565,-0.119357,530677.0,177967.0,True,27.6,43.85,5.79,17.76,10.17
St Bede's Catholic Primary School,100631,Primary,Lambeth,SW12 0LF,51.444521,-0.135593,529666.0,173374.0,True,22.09,30.89,5.0,17.0,9.47
St Andrew's Catholic Primary School,100632,Primary,Lambeth,SW16 2ET,51.424321,-0.125814,530403.0,171145.0,True,21.81,31.05,4.41,16.39,9.41
Immanuel and St Andrew Church of England Primary School,100633,Primary,Lambeth,SW16 5SL,51.419349,-0.13154,530019.0,170582.0,True,21.83,31.49,4.5,16.49,9.43
Reay Primary School,100634,Primary,Lambeth,SW9 0EN,51.477503,-0.115124,530994.0,177078.0,True,25.12,37.25,4.91,16.91,9.77
St Mary's Roman Catholic Primary School,100636,Primary,Lambeth,SW4 9QJ,51.45912,-0.138064,529453.0,174993.0,True,23.4,33.94,4.44,16.43,9.71
Kintore Way Nursery School and Children's Centre,100767,Nursery,Southwark,SE1 3BW,51.494377,-0.076079,533656.0,179025.0,True,26.21,39.78,8.01,19.63,10.17
Dulwich Wood Nursery School,100769,Nursery,Southwark,SE21 8QS,51.431382,-0.079849,533578.0,172012.9,True,20.73,28.26,3.91,15.85,9.12
Nell Gwynn Nursery School,100770,Nursery,Southwark,SE15 2TT,51.474871,-0.06453,534515.0,176877.0,True,24.17,35.89,5.64,17.62,9.73
The Grove Nursery School,100771,Nursery,Southwark,SE15 6BY,51.480499,-0.081963,533288.0,177471.0,True,25.72,39.51,6.24,18.17,9.96
Albion Primary School,100774,Primary,Southwark,SE16 7JD,51.499945,-0.051653,535335.0,179689.0,True,25.02,37.36,4.72,16.72,9.68
